Model,Train_Accuracy,Val_Accuracy,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_AUC_ROC
RandomForest,0.858806404657933,0.7565217391304347,0.784,0.72,0.9,0.8,0.7884615384615385
LightGBM,0.9155749636098981,0.8695652173913043,0.8,0.7536231884057971,0.8666666666666667,0.8062015503875969,0.8025641025641026
XGBoost,0.8296943231441049,0.8173913043478261,0.8,0.7611940298507462,0.85,0.8031496062992126,0.801923076923077
LogisticRegression,0.8311499272197962,0.8695652173913043,0.84,0.8125,0.8666666666666667,0.8387096774193549,0.841025641025641
AdaBoost,0.9737991266375546,0.8782608695652174,0.8,0.8070175438596491,0.7666666666666667,0.7863247863247863,0.7987179487179487
CatBoost,0.9228529839883551,0.8608695652173913,0.8,0.7611940298507462,0.85,0.8031496062992126,0.801923076923077
GradientBoosting,0.9374090247452693,0.8260869565217391,0.808,0.7571428571428571,0.8833333333333333,0.8153846153846154,0.8108974358974359
HistGradientBoosting,0.893740902474527,0.8521739130434782,0.8,0.7611940298507462,0.85,0.8031496062992126,0.801923076923077
StackingEnsemble,0.9184861717612809,0.8260869565217391,0.808,0.7571428571428571,0.8833333333333333,0.8153846153846154,0.8108974358974359
LSTM,0.7077625570776256,0.5882352941176471,0.5157894736842106,0.4642857142857143,0.975,0.6290322580645161,0.5784090909090909
BiLSTM,0.7899543378995434,0.8,0.7263157894736842,0.6944444444444444,0.625,0.6578947368421053,0.7125
GRU,0.7488584474885844,0.788235294117647,0.6736842105263158,0.5818181818181818,0.8,0.6736842105263158,0.6909090909090909
